,Unnamed: 0,orig,dest,airline,dep_date,ret_date,search_date,price
82309,82309,DXB,CMB,EK,2021-02-09,2021-02-23,2020-05-10,182.54500000000004
82352,82352,FRA,JNB,LH,2020-12-05,2020-12-21,2020-04-28,1024.8600000000004
82441,82441,FRA,YYZ,AC,2021-01-16,2021-01-25,2020-06-01,399.0485000000001
82457,82457,FRA,YUL,AC,2021-01-16,2021-01-25,2020-04-23,567.9034999999999
82517,82517,FRA,JNB,LH,2020-12-07,2020-12-21,2020-04-28,1024.8600000000004
82607,82607,HAM,CPH,SK,2020-12-08,2020-12-21,2020-06-02,150.9610000000001
82634,82634,FRA,LHR,BA,2021-02-17,2021-03-09,2020-05-05,552.3755000000001
82690,82690,FRA,KRK,LH,2021-01-14,2021-01-27,2020-05-06,482.76200000000017
82731,82731,FRA,PEK,CA,2021-02-27,2021-03-15,2020-04-22,896.9270000000004
82816,82816,FRA,YYZ,AC,2020-12-07,2020-12-20,2020-05-22,333.38199999999995
82878,82878,JNB,WDH,SA,2021-01-09,2021-01-24,2020-05-29,230.301
82933,82933,JNB,WDH,SA,2021-01-04,2021-01-24,2020-05-29,230.301
82943,82943,FRA,MEX,LH,2021-02-28,2021-03-16,2020-04-14,294.1294999999999
83040,83040,FRA,YYC,AC,2020-12-05,2020-12-21,2020-05-26,322.824
83083,83083,FRA,AUH,EY,2021-01-29,2021-02-13,2020-05-14,672.1859999999998
83116,83116,FRA,PEK,LH,2021-01-08,2021-01-26,2020-04-22,782.5070000000003
83166,83166,HAM,LHR,BA,2020-12-05,2020-12-14,2020-04-17,155.204
83248,83248,FRA,MLA,KM,2020-12-18,2020-12-28,2020-05-14,255.5465
83282,83282,HAM,LHR,BA,2020-12-07,2020-12-14,2020-04-23,157.62150000000003
83373,83373,JNB,WDH,SA,2021-01-10,2021-01-24,2020-05-29,230.301
83428,83428,JNB,CPT,SA,2021-01-14,2021-01-24,2020-05-29,216.5575
83446,83446,FRA,PEK,LH,2020-12-02,2020-12-20,2020-04-22,845.4710000000001
83494,83494,SIN,SYD,QF,2021-01-04,2021-01-19,2020-04-15,290.6475
83547,83547,FRA,YUL,LH,2020-12-09,2020-12-21,2020-04-13,746.9000000000003
83605,83605,FRA,SIN,SQ,2021-01-03,2021-01-21,2020-04-16,164.3899999999999
83660,83660,FRA,SIN,SQ,2021-01-04,2021-01-21,2020-04-16,164.3899999999999
83728,83728,FRA,SIN,SQ,2021-02-11,2021-03-10,2020-04-29,165.8899999999999
83770,83770,FRA,SIN,SQ,2021-01-05,2021-01-21,2020-04-16,164.3899999999999
83820,83820,FRA,SIN,SQ,2021-02-23,2021-03-10,2020-04-11,168.8899999999999
83875,83875,FRA,SIN,SQ,2021-01-06,2021-01-21,2020-04-11,168.8899999999999
83930,83930,FRA,SIN,SQ,2021-01-07,2021-01-21,2020-04-11,168.8899999999999
84003,84003,FRA,SIN,SQ,2021-02-25,2021-03-10,2020-04-29,164.88999999999996
84050,84050,MAD,SCL,IB,2021-01-09,2021-01-27,2020-04-21,291.99499999999995
84113,84113,FRA,SIN,SQ,2021-02-26,2021-03-10,2020-04-29,164.88999999999996
84162,84162,FRA,DEL,LH,2021-01-18,2021-01-27,2020-04-23,1032.4660000000001
84205,84205,FRA,CPH,LH,2021-01-18,2021-01-27,2020-04-11,315.9745000000001
84278,84278,FRA,SIN,SQ,2021-02-15,2021-03-10,2020-04-29,166.3899999999999
84327,84327,FRA,DEL,LH,2021-01-15,2021-01-27,2020-04-23,1032.4660000000001
84370,84370,FRA,SIN,SQ,2021-02-22,2021-03-10,2020-04-11,168.8899999999999
84442,84442,FRA,SIN,SQ,2021-02-20,2021-03-10,2020-04-28,172.38999999999993
84481,84481,FRA,WAW,LO,2021-01-11,2021-01-27,2020-04-12,895.6890000000002
84579,84579,FRA,CPT,LH,2021-03-01,2021-03-16,2020-05-25,409.112
84628,84628,FRA,WAW,LO,2021-01-18,2021-01-27,2020-05-19,912.0350000000003
84662,84662,FRA,SIN,SQ,2021-02-19,2021-03-10,2020-04-28,172.38999999999993
84705,84705,FRA,SIN,SQ,2021-01-02,2021-01-21,2020-04-16,165.8899999999999
84772,84772,FRA,SIN,SQ,2021-02-18,2021-03-10,2020-04-28,172.38999999999993
84810,84810,FRA,SIN,SQ,2020-12-30,2021-01-21,2020-04-11,164.8899999999999
84882,84882,FAR,BLQ,LH,2020-12-23,2021-01-02,2020-04-28,115.25550000000004
84932,84932,MUC,WAW,LO,2021-01-11,2021-01-27,2020-04-23,229.77250000000004
85019,85019,SVO,IKT,SU,2020-12-11,2020-12-27,2020-05-25,668.3055000000003
85075,85075,DUS,DUB,EI,2020-12-26,2021-01-07,2020-05-26,390.0695000000002
85095,85095,TPE,JKT,CI,2021-02-27,2021-03-16,2020-04-21,1214.3284999999996
85165,85165,FRA,SIN,SQ,2020-12-02,2020-12-15,2020-05-06,124.88999999999993
85207,85207,MUC,CPT,LH,2021-01-15,2021-01-27,2020-04-23,359.66600000000005
85268,85268,FRA,SIN,SQ,2021-02-16,2021-03-10,2020-04-29,166.3899999999999
85312,85312,FRA,SIN,SQ,2021-01-10,2021-01-21,2020-04-18,163.8899999999999
85372,85372,FRA,SIN,SQ,2021-02-17,2021-03-10,2020-04-23,167.3899999999999
85417,85417,FRA,SJO,LH,2020-12-19,2020-12-28,2020-04-13,716.6310000000003
85470,85470,FRA,SIN,SQ,2020-12-28,2021-01-21,2020-04-11,164.8899999999999
85529,85529,SIN,SYD,SQ,2021-01-08,2021-01-21,2020-04-15,277.1135
85628,85628,JNB,WDH,SA,2021-02-27,2021-03-13,2020-05-29,227.80099999999996
85655,85655,FRA,MEX,LH,2020-12-02,2020-12-21,2020-05-01,295.6739999999998
85712,85712,LHR,CPT,BA,2021-02-22,2021-03-09,2020-05-03,983.0095000000003
85793,85793,JNB,VFA,SA,2021-02-21,2021-03-13,2020-05-29,230.1905
85848,85848,JNB,WDH,SA,2021-02-26,2021-03-13,2020-05-29,227.80099999999996
85882,85882,DXB,RGN,EK,2020-12-22,2021-01-05,2020-05-08,489.8215000000001
85921,85921,MAD,SCL,IB,2021-02-26,2021-03-16,2020-04-22,309.33
86019,86019,SIN,RGN,SQ,2021-01-08,2021-01-21,2020-06-04,178.16699999999975
86067,86067,SIN,KUL,SQ,2021-01-06,2021-01-21,2020-05-28,670.4330000000002
86122,86122,SIN,KUL,SQ,2021-01-05,2021-01-21,2020-05-28,670.4330000000002
86184,86184,SIN,RGN,SQ,2021-01-09,2021-01-21,2020-06-04,178.1669999999999
86185,86185,SIN,RGN,SQ,2021-01-06,2021-01-21,2020-04-11,178.91699999999938
86294,86294,SIN,SGN,SQ,2021-01-08,2021-01-21,2020-06-04,178.16699999999975
86343,86343,JNB,WDH,SA,2021-03-02,2021-03-13,2020-05-29,227.80099999999996
86378,86378,MUC,SIN,SQ,2021-01-04,2021-01-21,2020-05-09,909.043
86429,86429,DUS,SVO,SU,2020-12-11,2020-12-27,2020-05-05,582.7354999999999
86461,86461,FRA,EDI,LH,2021-03-09,2021-03-16,2020-04-12,276.52999999999986
86543,86543,FRA,EDI,LH,2021-01-18,2021-01-27,2020-05-09,381.114
86580,86580,MUC,ARN,LH,2021-03-12,2021-03-16,2020-04-21,502.58499999999987
86637,86637,FRA,EDI,LH,2021-01-20,2021-01-27,2020-04-23,396.3465
86729,86729,LHR,JFK,BA,2021-03-02,2021-03-09,2020-05-30,931.2924999999997
86784,86784,MUC,WAW,LO,2021-01-18,2021-01-27,2020-05-30,267.63300000000004
86802,86802,LHR,JNB,BA,2021-02-24,2021-03-09,2020-04-23,961.7020000000003
86872,86872,GRU,LIM,LA,2020-12-13,2020-12-27,2020-05-08,408.409
86938,86938,FRA,YUL,LH,2021-01-15,2021-01-27,2020-05-19,912.8290000000003
86993,86993,FRA,YUL,LH,2021-01-13,2021-01-27,2020-05-19,912.8290000000003
87013,87013,MAD,LIM,LA,2020-12-13,2020-12-27,2020-04-14,183.484
87088,87088,FRA,KRK,LH,2021-01-17,2021-01-25,2020-05-04,471.74799999999993
87127,87127,FRA,CUN,LH,2020-12-17,2020-12-28,2020-04-18,194.8005
87186,87186,MAD,SCL,IB,2021-02-28,2021-03-19,2020-04-22,309.33
87263,87263,FRA,SIN,SQ,2020-12-21,2021-01-17,2020-05-14,155.0399999999999
87296,87296,MAD,SCL,IB,2021-02-26,2021-03-19,2020-04-22,309.33
87378,87378,FRA,YUL,LH,2021-01-11,2021-01-23,2020-05-19,845.1365
87395,87395,MUC,LCA,LH,2020-12-16,2020-12-24,2020-04-11,621.2125000000002
87495,87495,FRA,YYZ,AC,2021-01-09,2021-01-22,2020-05-26,359.32400000000007
87550,87550,FRA,YYZ,AC,2021-01-07,2021-01-22,2020-05-26,362.32400000000007
87575,87575,MAD,PTY,IB,2021-03-03,2021-03-19,2020-04-26,299.5
87646,87646,MAD,MEX,IB,2021-03-06,2021-03-19,2020-05-12,297.0575
87688,87688,FRA,RIX,LH,2020-12-16,2020-12-24,2020-04-29,1115.6915000000006
87772,87772,FRA,YYZ,AC,2021-01-12,2021-01-22,2020-05-28,400.68950000000007
87825,87825,FRA,YYC,AC,2021-01-08,2021-01-22,2020-05-26,359.32400000000007
87849,87849,MAD,SCL,IB,2021-03-04,2021-03-19,2020-04-25,318.83
